case_id,canonical_oracle,max_budget_oracle,gain,s10_a0,s10_a6,s10_a11,s10_a15,s10_a23,s10_a39,s15_a0,s15_a6,s15_a11,s15_a15,s15_a23,s15_a39,s20_a0,s20_a6,s20_a11,s20_a15,s20_a23,s20_a39,s25_a0,s25_a6,s25_a11,s25_a15,s25_a23,s25_a39,s30_a0,s30_a6,s30_a11,s30_a15,s30_a23,s30_a39
TCGA_DU_6407_19860514_27,0.9768944902245921,0.9768944902245921,0.0,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921,0.9768944902245921
TCGA_DU_6408_19860521_31,0.9509275335831124,0.956006922306221,0.0050793887231085355,0.9509275335831124,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.9509275335831124,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.9509275335831124,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.9509275335831124,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.9509275335831124,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221,0.956006922306221
TCGA_DU_7008_19830723_26,0.8904565941602979,0.8904565941602979,0.0,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979,0.8904565941602979
TCGA_DU_7010_19860307_38,0.8665256872745366,0.8665256872745366,0.0,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366,0.8665256872745366
TCGA_DU_7013_19860523_17,0.3973941368078176,0.7853470437017995,0.38795290689398193,0.3973941368078176,0.7687790555419624,0.7687790555419624,0.7788810850084766,0.7788810850084766,0.7788810850084766,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995,0.7853470437017995
TCGA_DU_7014_19860618_36,0.9516223497715826,0.9516223497715826,0.0,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826,0.9516223497715826
TCGA_DU_7018_19911220_22,0.8583222046861722,0.8666178980736405,0.008295693387468384,0.8583222046861722,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8583222046861722,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8583222046861722,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8583222046861722,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8583222046861722,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405,0.8666178980736405
TCGA_DU_7019_19940908_15,0.8897827835880934,0.8897827835880934,0.0,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934,0.8897827835880934
TCGA_DU_7294_19890104_25,0.8839336763865066,0.8839336763865066,0.0,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066
TCGA_DU_7298_19910324_14,0.9524158125915081,0.9579467405711531,0.0055309279796450506,0.9524158125915081,0.9574697496106386,0.9574697496106386,0.9574697496106386,0.9579467405711531,0.9579467405711531,0.9524158125915081,0.9574697496106386,0.9574697496106386,0.9574697496106386,0.9579467405711531,0.9579467405711531,0.9533517208298357,0.9574697496106386,0.9574697496106386,0.9574697496106386,0.9579467405711531,0.9579467405711531,0.9533517208298357,0.9574697496106386,0.9574697496106386,0.9574697496106386,0.9579467405711531,0.9579467405711531,0.9533517208298357,0.9574697496106386,0.9574697496106386,0.9574697496106386,0.9579467405711531,0.9579467405711531
TCGA_DU_7299_19910417_25,0.8024401689347724,0.8024401689347724,0.0,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724,0.8024401689347724
TCGA_DU_7300_19910814_16,0.9116901083698409,0.912313003452244,0.0006228950824030965,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.9116901083698409,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244,0.912313003452244
