case_id,gate_opened,dice,jaccard,sensitivity,precision,specificity,boundary_f1_at_2_px,assd_px,hd95_px,lesion_recall_at_iou_0_10,lesion_precision_at_iou_0_10,lesion_f1_at_iou_0_10,true_positive_pixels,false_positive_pixels,false_negative_pixels
TCGA_CS_6669_20020102_16,0,0.8974218321448162,0.8139303482587065,0.9547709366793113,0.8465717981888745,0.9904522693973499,0.6897934664701739,2.348326765505018,10.0,1.0,1.0,1.0,3272,593,155
TCGA_DU_5849_19950405_24,0,0.9507227332457293,0.9060738885410144,0.9803523035230353,0.9228316326530612,0.9981111458008117,0.872692413037524,0.9377028515588722,5.452032870291113,1.0,1.0,1.0,1447,121,29
TCGA_DU_5851_19950428_19,0,0.8695838695838696,0.7692599620493359,0.9975393700787402,0.7707224334600761,0.9905045351473923,0.524264705882353,3.3338681854486576,14.595543571299176,1.0,1.0,1.0,2027,603,5
TCGA_DU_5852_19950709_13,0,0.27094002973732034,0.15669787884578634,0.9939393939393939,0.1568477429227238,0.9318817511705892,0.19171430808990525,17.044497406176113,47.573054190316334,0.5,1.0,0.6666666666666666,820,4408,5
TCGA_DU_5853_19950823_29,0,0.34466588511137164,0.20821529745042494,0.9949238578680203,0.20843672456575682,0.9306026043447183,0.06246362754607178,22.830591503853714,62.589934146688336,1.0,1.0,1.0,1176,4466,6
TCGA_DU_5854_19951104_27,0,0.8921815889029003,0.8053500284575982,0.933377308707124,0.8544685990338164,0.9962355513901906,0.7221006564551422,1.8263885549932823,6.6929499477460395,1.0,1.0,1.0,1415,241,101
TCGA_DU_5855_19951217_17,0,0.956397426733381,0.9164383561643835,0.9516358463726885,0.9612068965517241,0.9968819599109131,0.8820785081920689,1.1675478516411777,4.123105625617661,0.5,1.0,0.6666666666666666,4683,189,238
TCGA_DU_5871_19941206_23,0,0.9611564775987641,0.9252177607818143,0.9637087851294535,0.9586176535329077,0.9969188914564794,0.85908415552328,1.4030465960898058,7.788675208225145,1.0,1.0,1.0,4355,188,164
TCGA_DU_5872_19950223_39,0,0.8199620972836387,0.6948608137044968,0.9981544140264534,0.6957547169811321,0.9772176286425303,0.45224078936387396,6.983668713309721,22.02271554554524,1.0,1.0,1.0,3245,1419,6
TCGA_DU_5874_19950510_24,0,0.8932617769827073,0.8071120689655172,0.8378076062639821,0.9565772669220945,0.9994740261749328,0.856650387819592,1.4398149919718608,9.537700299491478,1.0,1.0,1.0,749,34,145
TCGA_DU_6399_19830416_23,0,0.9605295415543025,0.9240566037735849,0.9717261904761905,0.9495879786718371,0.9983627204030227,0.9346631231008107,0.7227151684372412,3.605551275463989,1.0,1.0,1.0,1959,104,57
TCGA_DU_6400_19830518_22,0,0.9540050062578223,0.9120550403828896,0.9763048350944604,0.9327011318446008,0.9964750933299152,0.9000155358767783,1.0195525452397252,3.605551275463989,1.0,1.0,1.0,3049,220,74
TCGA_DU_6401_19831001_30,0,0.9534623655913979,0.9110636199243795,0.9926562779867455,0.9172459450513075,0.9916601337714543,0.8067454641270797,1.7474825503230391,12.481452815580461,1.0,1.0,1.0,5542,500,41
TCGA_DU_6404_19850629_35,1,0.635719347980156,0.465974025974026,0.4667013527575442,0.9966666666666667,0.9999528405696859,0.4331906920213709,6.186346406310174,16.76305461424021,1.0,1.0,1.0,897,3,1025
TCGA_DU_6405_19851005_46,1,0.7663190421011974,0.6211646837820914,0.96875,0.6338658146964856,0.9911179315476191,0.47152585119798235,4.094298762493352,15.207940978544846,1.0,1.0,1.0,992,573,32
TCGA_DU_6407_19860514_27,0,0.9678225554514215,0.9376513317191283,0.9939043952518447,0.9430745814307459,0.9970041173360675,0.9565561073252205,0.7477703770275511,2.0590169943749475,1.0,1.0,1.0,3098,187,19
TCGA_DU_6408_19860521_31,0,0.9440883190883191,0.894097807757167,0.9814883376527213,0.909433962264151,0.9912196095386969,0.7939737388894055,1.8978562325738744,11.240355762667555,0.5,1.0,0.6666666666666666,5302,528,100
TCGA_DU_7008_19830723_26,0,0.8900138971610085,0.8018243605795028,0.8679574056147145,0.9132206151965777,0.9929436318762319,0.5999337146159271,3.1087912679636847,14.181519588144063,1.0,1.0,1.0,4483,426,682
TCGA_DU_7010_19860307_38,0,0.8502293577981651,0.739477358866946,0.8982311606493821,0.8070977574569997,0.9855721474051035,0.6232352210350358,3.0697512891479284,17.18268794847745,1.0,1.0,1.0,3707,886,420
TCGA_DU_7013_19860523_17,0,0.3934816224574759,0.24492818006811787,0.9856972586412396,0.24580175360380443,0.9205267938237965,0.36598884157979744,28.651262213917512,90.04691690952652,1.0,1.0,1.0,1654,5075,24
TCGA_DU_7014_19860618_36,0,0.9252700746185544,0.8609326424870466,0.9876367094626723,0.8703121726377541,0.9899070601663134,0.6820548589595938,2.7391917472955707,13.013441683641853,1.0,1.0,1.0,4154,619,52
TCGA_DU_7018_19911220_22,0,0.8499581889857842,0.7390672068141685,0.9456406166932483,0.7718594055109568,0.9637488795421637,0.5631448741929644,9.383742076886907,45.89716025528377,0.5,1.0,0.6666666666666666,7115,2103,409
TCGA_DU_7019_19940908_15,0,0.6632298554297882,0.49614352783366866,0.9886401603742064,0.49898819561551433,0.9524966822825895,0.4357954997217143,13.780578942958403,54.078630427682214,1.0,1.0,1.0,2959,2971,34
TCGA_DU_7294_19890104_25,0,0.5155688622754491,0.3473174667204518,0.9674157303370786,0.3514285714285714,0.9754199795811033,0.30720468121419,12.858883628849352,43.27931405578189,1.0,1.0,1.0,861,1589,29
TCGA_DU_7298_19910324_14,0,0.9521404521404522,0.9086527427128759,0.9677340503544366,0.9370414201183432,0.9956709252176743,0.8730772337552938,1.0097266108938638,4.47213595499958,1.0,1.0,1.0,3959,266,132
TCGA_DU_7299_19910417_25,0,0.2950688226647067,0.17306787897789622,0.9990950226244344,0.17309501411100658,0.9181449923173628,0.12506197684253506,30.840589018337,92.9505136801483,1.0,1.0,1.0,1104,5274,1
TCGA_DU_7300_19910814_16,0,0.899537825346631,0.8174182139699381,0.8419854280510018,0.9655352480417755,0.9989580044205874,0.7788727524204704,1.4104096613563628,5.256399425040733,1.0,1.0,1.0,1849,66,347
TCGA_DU_7301_19911112_22,0,0.3366235098064351,0.20237361282367447,0.4110832811521603,0.2850010853049707,0.9471624266144814,0.23064885797834506,14.04911342685435,53.071561110001895,1.0,1.0,1.0,1313,3294,1881
TCGA_DU_7302_19911203_24,0,0.9063573883161512,0.828750981932443,0.985520784680056,0.8389662027833003,0.9936114835554855,0.6601399888070285,2.562247879131475,15.746883773318237,1.0,1.0,1.0,2110,405,31
TCGA_DU_7304_19930325_24,0,0.8687772681507999,0.767998417721519,0.8879487765835811,0.8504161191414805,0.9888331180615731,0.6513684846845844,3.562044813385946,17.0,0.5,1.0,0.6666666666666666,3883,683,490
TCGA_DU_7306_19930512_22,0,0.0,0.0,0.0,0.0,0.8934680563290636,,,,0.0,0.0,0.0,0,6695,2691
TCGA_DU_7309_19960831_26,0,0.2702630166398282,0.15624515128006206,0.9664107485604606,0.15709828393135725,0.9162247650944274,0.2853661838364695,42.897214739772075,104.0276399262168,1.0,1.0,1.0,1007,5403,35
TCGA_DU_8162_19961029_15,0,0.9392298435619735,0.8854225751559841,0.9553243574051408,0.9236686390532545,0.9979812838408814,0.8577201755281152,1.0610444399996026,4.524922359499619,1.0,1.0,1.0,1561,129,73
TCGA_DU_8163_19961119_16,1,0.8566359119943222,0.7492240844196152,0.9068369646882044,0.8117014122394082,0.9956389689276536,0.6776638430673205,2.4056693387343007,10.0,1.0,1.0,1.0,1207,280,124
TCGA_DU_8164_19970111_22,0,0.9230158730158731,0.8570375829034635,0.8871090770404272,0.9619520264681555,0.9977598493579858,0.7881821188402601,1.760824505972847,9.486832980505138,1.0,1.0,1.0,3489,138,444
TCGA_DU_8165_19970205_14,0,0.5454545454545454,0.375,1.0,0.375,0.9850663546509838,0.005747126436781609,6.709621236948712,12.529964086141668,1.0,1.0,1.0,582,970,0
TCGA_DU_8166_19970322_25,0,0.6787904874636823,0.513764456751914,0.9905778894472361,0.5162874447536422,0.9526077752117013,0.2857142857142857,8.097172309375898,34.51665826243797,0.3333333333333333,1.0,0.5,3154,2955,30
TCGA_DU_8167_19970402_19,0,0.10386288053210539,0.054776038855909336,0.0548500405295866,0.9759615384615384,0.9999191396458317,0.2784915043514298,25.3742484460116,68.02792965872848,0.0,0.0,0.0,203,5,3498
TCGA_DU_8168_19970503_20,0,0.9292165898617512,0.8677913582372181,0.9788349514563107,0.8843859649122807,0.9890868744410957,0.7131047397207093,3.0907423356852104,17.153601201875784,1.0,1.0,1.0,5041,659,109
TCGA_DU_A5TP_19970614_27,0,0.9397003745318352,0.8862592723419287,0.9227657226921663,0.957268218237314,0.9982170431571071,0.9226673230896794,0.840646702024739,2.9571067811865475,1.0,1.0,1.0,2509,112,210
TCGA_DU_A5TR_19970726_19,0,0.0,0.0,0.0,0.0,0.9944561081222937,,,,0.0,0.0,0.0,0,338,4568
TCGA_DU_A5TS_19970726_16,0,0.8601292807041673,0.7545849420849421,0.7666094631037019,0.9796365914786967,0.9989423499357274,0.6412572870146253,3.3169687920170965,14.0,1.0,1.0,1.0,3127,65,952
