case_id,candidate_count,selected_index,oracle_index,seed_count,any_seed_in_gt,union_gt_recall,max_candidate_recall,min_centroid_distance_radii,selected_dice,selected_precision,selected_recall,selected_boundary_f1_2px,selected_assd_px,selected_hd95_px,oracle_dice,oracle_precision,oracle_recall,oracle_boundary_f1_2px,oracle_assd_px,oracle_hd95_px,boundary_gradient_median,boundary_gradient_p25,weak_boundary_fraction,normal_gradient_abs_median,normal_gradient_sign_consistency,ring_intensity_distance_iqr,gt_compactness,selection_regret,failure_class
TCGA_CS_6290_20000917_8,490,220,43,20,1,0.9933024214322514,0.9933024214322514,0.003570665299362894,0.9634691195795007,0.9833690987124464,0.9443585780525502,0.9499176728869374,0.31133779505622117,1.4142135623730951,0.9645576266736676,0.9834047109207709,0.9464193714580114,0.9498826453127157,0.30542864735304803,1.4142135623730951,0.054136577425575136,0.03961858658263339,0.05789473684210526,0.05051780948756478,0.9921052631578947,1.3354772186418837,0.6901121933698579,0.0010885070941669683,C
TCGA_CS_6665_20010817_18,520,235,274,20,1,0.9607287449392713,0.9607287449392713,0.1926068948071221,0.4630859375,0.30514800514800516,0.959919028340081,0.2822252374491181,27.0223003345394,92.74425475677552,0.7081682701377099,0.6630166019074532,0.759919028340081,0.24275362318840576,3.984189493612481,18.361636208880814,0.04525422152450578,0.03112418389537201,0.10550458715596331,0.04019528657074438,0.981651376146789,0.6236748965317667,0.659154694673078,0.2450823326377099,S
TCGA_CS_6666_20011109_17,594,122,342,20,1,0.9990505577972941,0.9990505577972941,0.059760262359106316,0.9276211950394588,0.8834013313291819,0.9765013054830287,0.6372647794858461,2.7832463703605557,14.672751583480828,0.9493494423791822,0.9296928327645051,0.9698552100640874,0.7208929166120032,1.7346567678680478,9.649744150086049,0.06897896026954962,0.042456278544037614,0.08658008658008658,0.0629115757150665,0.9025974025974026,0.8211677773484978,1.0095558703740413,0.02172824733972334,C
TCGA_CS_6667_20011105_13,543,302,371,20,1,0.9575070821529745,0.9575070821529745,0.024948906319487634,0.9387875220718069,0.9767299448867116,0.9036827195467422,0.874201205039255,0.41945498603352355,2.0,0.9404553415061296,0.9698976520168573,0.9127478753541076,0.8856926570779713,0.40732232538268964,2.0,0.07563524348278226,0.05729219927889077,0.030201342281879196,0.07088543182390192,0.9765100671140939,2.4246728759998293,1.0264077067117254,0.0016678194343227037,C
TCGA_CS_6668_20011025_17,429,23,9,19,1,0.9919404835709857,0.9919404835709857,0.053786513976013986,0.9411035337879727,0.9411035337879727,0.9411035337879727,0.890087660148348,0.4836796558259387,2.0,0.9417924237757931,0.9357405140758874,0.9479231246125233,0.8754083061129257,0.504136695070616,2.3249218495867363,0.037769540515437336,0.025036354623858077,0.0,0.033381670413017,1.0,1.2772855946854293,0.8658872997972014,0.0006888899878203514,C
TCGA_CS_6669_20020102_16,414,139,138,20,1,0.9892033848847388,0.9892033848847388,0.09411860116739051,0.8974218321448162,0.8465717981888745,0.9547709366793113,0.6479031525017559,1.04014656110824,5.674264014027656,0.9043746494671902,0.8704453441295547,0.9410563174788444,0.6571067879454893,0.9084371175877856,4.123105625617661,0.017463421062903668,0.011629639243174726,0.30368098159509205,0.015281921782072173,0.9815950920245399,0.5050162312802544,0.4102361691758572,0.006952817322373961,C
TCGA_DU_5849_19950405_24,350,14,345,20,1,0.991869918699187,0.991869918699187,0.052361134176682644,0.9507227332457293,0.9228316326530612,0.9803523035230353,0.8614025400331308,0.644986907429537,3.842220510185582,0.9584450402144772,0.9482758620689655,0.9688346883468835,0.9208331347409562,0.5007981265721518,2.23606797749979,0.05066463571950669,0.03724359204760676,0.0034965034965034965,0.04849746982811555,1.0,1.2518316734126818,0.9070352108555464,0.007722306968747872,C
TCGA_DU_5851_19950428_19,463,8,4,20,1,1.0,1.0,0.004314449400845431,0.8695838695838696,0.7707224334600761,0.9975393700787402,0.46975673149267,1.1623952135010434,5.0,0.9556148435605142,0.9421329507412721,0.969488188976378,0.8736046592248491,0.24621657490682436,1.4142135623730951,0.05711505826457329,0.043402720622100446,0.02391304347826087,0.0508671835021417,0.967391304347826,0.9412554063694549,0.486925594255887,0.08603097397664461,C
TCGA_DU_5852_19950709_13,521,265,136,20,1,0.9939393939393939,0.9939393939393939,0.0722612321864566,0.27094002973732034,0.1568477429227238,0.9939393939393939,0.18162554866051162,14.262876980827077,46.424107505674975,0.7552721922511035,0.6342668863261944,0.9333333333333333,0.69477781381771,1.4929250092906992,7.211102550927978,0.020195783787399207,0.011582760394046255,0.5887096774193549,0.017462416778740702,0.9220430107526881,0.3845271739601872,0.3129832072468056,0.4843321625137832,S
TCGA_DU_5853_19950823_29,591,190,525,20,1,0.9949238578680203,0.9949238578680203,0.3307790965154978,0.34466588511137164,0.20843672456575682,0.9949238578680203,0.04865600544402857,20.95197179428267,61.5223536610881,0.7690782953419227,0.6308943089430894,0.9847715736040609,0.49505572123685443,3.929297062681808,18.667238852894222,0.034444657627740904,0.016625072998471605,0.5350877192982456,0.02413951431399735,0.7543859649122807,0.31650776855128737,1.184107945325311,0.4244124102305511,S
TCGA_DU_5854_19951104_27,458,57,55,20,1,0.9617414248021108,0.9617414248021108,0.12773736848218947,0.8921815889029003,0.8544685990338164,0.933377308707124,0.7142689866747851,1.0675984424121332,5.830951894845301,0.8957708957708957,0.9045057162071285,0.887203166226913,0.6805970149253732,0.7743772949286365,3.605551275463989,0.05765135116697327,0.03526966144548786,0.1484848484848485,0.05244214810607161,0.9272727272727272,1.0315401283529042,0.7170242708179206,0.003589306867995412,C
TCGA_DU_5855_19951217_17,497,266,338,20,1,0.968705547652916,0.9652509652509652,0.02579262008015985,0.956397426733381,0.9612068965517241,0.9516358463726885,0.8631373309872818,0.6998170144159533,3.0,0.9579551382368284,0.9843481989708405,0.9329404592562487,0.8550914434512479,0.5775228098432775,2.23606797749979,0.0642757463051813,0.042191774431227284,0.081374321880651,0.059237301363302186,0.9439421338155516,1.2022922124908444,0.8358443689615745,0.001557711503447412,C
TCGA_DU_5871_19941206_23,432,159,132,20,1,0.9858375746846647,0.9858375746846647,0.021836008941240645,0.9611564775987641,0.9586176535329077,0.9637087851294535,0.8394235044858883,0.8117724068171487,3.605551275463989,0.9622093023255814,0.9724293785310735,0.9522018145607435,0.8423021095844055,0.658786145760991,3.0,0.03351912922594959,0.01756843374575451,0.1092436974789916,0.03051064273940688,0.9327731092436975,1.1126832354598,1.0110101444974806,0.0010528247268173363,C
TCGA_DU_5872_19950223_39,399,139,139,20,1,0.9984620116887112,0.9984620116887112,0.24549102785619686,0.8199620972836387,0.6957547169811321,0.9981544140264534,0.4150833012006541,5.9027063636167485,19.715472727398875,0.8199620972836387,0.6957547169811321,0.9981544140264534,0.4150833012006541,5.9027063636167485,19.715472727398875,0.07811571139815926,0.0524623603415548,0.005208333333333333,0.07424743210244078,0.9869791666666666,0.812191454069665,1.131669553109982,0.0,C
TCGA_DU_5874_19950510_24,483,22,22,20,1,0.8948545861297539,0.8948545861297539,0.15463549063349033,0.8932617769827073,0.9565772669220945,0.8378076062639821,0.8513893774182203,0.36375015365193697,1.4142135623730951,0.8932617769827073,0.9565772669220945,0.8378076062639821,0.8513893774182203,0.36375015365193697,1.4142135623730951,0.040853141937201555,0.02288064388156401,0.08133971291866028,0.03722442470508305,0.9712918660287081,1.0479034783777477,1.0386774527761382,0.0,C
